"Title","video_url","Published_date","Views"
"THE UNBREAKABLE MIND: 10 Timeless Lessons To Build Mental Toughness by Marcus Aurelius","https://www.youtube.com/watch?v=6w6t3tJ5wWg","2023-05-29",3886
"UNSHACKLE YOUR MIND: 10 Stoic Lessons That Will Immediately Change Your Life By Epictetus","https://www.youtube.com/watch?v=rYVLcueeecA","2023-05-22",1818
"THE UNSHAKABLE CHARACTER: Top 10 Stoic Lessons To Conquer Yourself","https://www.youtube.com/watch?v=W01UhQFBvD8","2023-05-15",5625
"THE UNSHAKABLE CHARACTER: Top 10 Stoic Lessons To Conquer Yourself","https://www.youtube.com/watch?v=W01UhQFBvD8","2023-05-15",3691
"The Way of Walking Alone: 21 Principles For Life by Miyamoto Musashi (Dokkodo)","https://www.youtube.com/watch?v=vdNrytmiL2U","2023-05-08",29700
"BECOMING THE BEST VERSION OF YOURSELF: Embracing the Ubermensch Philosophy","https://www.youtube.com/watch?v=OFRQ-Z9K74w","2023-05-04",6055
"BECOMING UNSTOPPABLE - 7 Stoic Lessons To Building Mental Toughness","https://www.youtube.com/watch?v=p4DN_ae_K0E","2023-05-01",7938
"The Art of Effortless Living - Taoist Wisdom for Modern Times","https://www.youtube.com/watch?v=-VfFJrNmq8I","2023-04-27",4165
"The Stoic Mindset: Life Changing Lessons by Marcus Aurelius","https://www.youtube.com/watch?v=2xuZR_Z7KBw","2023-04-24",11722
"How To GET ANYTHING You Want In Life - Jordan Peterson Motivation","https://www.youtube.com/watch?v=79F1uFtltmo","2023-04-17",20728
"Neuroscientist: This is How Social Media RUINS Your Brain! (dopamine detox) - Andrew Huberman","https://www.youtube.com/watch?v=vQUT4NHo3Js","2023-04-15",7789
"How To Become A TOP 1% MAN - Jordan Peterson Motivation","https://www.youtube.com/watch?v=6Slu_Ac_i4A","2023-04-13",50007
"How To Stop Procrastinating (and get things done) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=9v2iLAhLpBE","2023-04-10",70811
"How To Become Mentally Tough (transform yourself into a savage) - David Goggins Motivation","https://www.youtube.com/watch?v=RiKGKm51DTM","2023-04-06",338336
"How To Be Disciplined: Sacrificing Today for a Better Tomorrow - Jordan Peterson Motivation","https://www.youtube.com/watch?v=-yk62xBzuqc","2023-04-03",97663
"QUIT DRINKING ALCOHOL RIGHT NOW! (it will save your life) - Andrew Huberman","https://www.youtube.com/watch?v=Q_kQEXa_SgI","2023-04-01",72399
"HOW TO BUILD UNSHAKABLE CONFIDENCE IN YOURSELF! - David Goggins Motivation","https://www.youtube.com/watch?v=3JvRxeb37do","2023-03-30",27225
"You Have To Put Yourself FIRST! Become Stronger & Help The People You Love - Jordan Peterson","https://www.youtube.com/watch?v=Wbe6Yto9ekc","2023-03-27",23195
"DISCIPLINE IS EVERYTHING! Without It You're NOTHING! - David Goggins Motivation","https://www.youtube.com/watch?v=Ukup46H8Otc","2023-03-23",66605
"FINDING SOMETHING TO LIVE FOR! (and die for) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=bPBMh_RndGg","2023-03-20",11590
"Use Loneliness To Become An ABSOLUTE BEAST - David Goggins Motivation","https://www.youtube.com/watch?v=EQ_0wVRBInI","2023-03-16",37869
"How To Stand Up For Yourself & Become Mentally Tougher - Jordan Peterson Motivation","https://www.youtube.com/watch?v=0NjtIB4zy3I","2023-03-13",408143
"THE CLOCK IS TICKING! Stop Wasting Your Life! - Jordan Peterson Motivation #shorts","https://www.youtube.com/watch?v=cdEww-1k86s","2023-03-11",4506
"BECOME EXTRAORDINARY AT 1 THING! (at least) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=mSEgHWi3X-Y","2023-03-09",11960
"A Guide to Overcoming the Victim Mentality (power of personal responsibility) - Jordan Peterson","https://www.youtube.com/watch?v=l11VBB-j6Fo","2023-03-06",30493
"FOCUS ON YOURSELF! (simple steps to get your life together) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=gbNQZ6pXlM0","2023-03-02",102170
"Reach for the Stars: How to Set and Achieve Ambitious Goals - Jordan Peterson Motivation","https://www.youtube.com/watch?v=KBAXE_tvZ0w","2023-02-27",52996
"The UNTOLD TRUTH About Successful People! (hidden cost of success)- Jordan Peterson Motivation","https://www.youtube.com/watch?v=Xo-eHhcgAOU","2023-02-23",10778
"Living With Purpose: How to Find Meaning and Joy in Everyday Life - Jordan Peterson Motivation","https://www.youtube.com/watch?v=2w7OEQKbphM","2023-02-20",17265
"Feeling Lost and Hopeless In Life? Watch This Video - Jordan Peterson Motivation","https://www.youtube.com/watch?v=v0FoOS-omCU","2023-02-16",29546
"MEMENTO MORI: Transform Your Struggles Into Strengths NOW - Jordan Peterson Motivation","https://www.youtube.com/watch?v=QjrhUHvYMXc","2023-02-13",91936
"Becoming UNSTOPPABLE - How to Face Everything and Rise Above It All | Jordan Peterson Motivation","https://www.youtube.com/watch?v=le51wdYcpkg","2023-02-09",30097
"The Path to Excellence: Becoming Exceptional At One Thing At A Time - Jordan Peterson Motivation","https://www.youtube.com/watch?v=V7soR2PX614","2023-02-06",17803
"BE A MAN! START ACTING LIKE AN ADULT - Jordan Peterson Motivation","https://www.youtube.com/watch?v=1QI5Kxfdx0M","2023-02-02",578482
"Take Your Life to the NEXT LEVEL (start setting big goals for yourself) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=oYV7LlOcESA","2023-01-30",18826
"STRIVE TO BUILD A STRONG CHARACTER! STRIVE TO BECOME POWERFUL - Jordan Peterson Motivation","https://www.youtube.com/watch?v=hD0UAVAc5JA","2023-01-28",55588
"The Role of Discipline and Dedication in Achieving Success - Jordan Peterson Motivation","https://www.youtube.com/watch?v=cz5ihiJdkPo","2023-01-26",19860
"BECOME A CIVILIZED MONSTER NOW! Stop Wasting Your Time - Jordan Peterson Motivation","https://www.youtube.com/watch?v=b5KEhOxabWY","2023-01-23",22238
"A Guide to Building a Stronger, More Resilient Character - Jordan Peterson Motivation","https://www.youtube.com/watch?v=qfuzmgpR8Ps","2023-01-19",170505
"Responsibility and Sacrifice: The Path to a Life Well-Lived - Jordan Peterson Motivation","https://www.youtube.com/watch?v=WJwaN9kmO5c","2023-01-16",14729
"EVERYDAY IS A BATTLE! You Have To CONQUER Your INNER DEMONS - Jordan Peterson Motivation","https://www.youtube.com/watch?v=POWdpLwx67I","2023-01-14",35167
"The Power of a Clear Goal: How to Stay Motivated and Achieve Success - Jordan Peterson Motivation","https://www.youtube.com/watch?v=sbtWq7IOVmc","2023-01-12",12163
"The Most Eye Opening 90 Minutes Of Your Life - Jordan Peterson Motivation","https://www.youtube.com/watch?v=WmHCHwhS7bM","2023-01-09",138328
"STOP ACTING LIKE A COWARD! WE ARE BUILT FOR A CHALLENGE! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=P4NJyVKm8m4","2023-01-05",21289
"KEEP WORKING ON YOURSELF! STRIVE TO IMPROVE EVERYDAY - Jordan Peterson Motivation","https://www.youtube.com/watch?v=hNUdWRMkp7k","2023-01-02",23326
"HOW TO TRANSFORM YOUR LIFE IN A YEAR - Jordan Peterson Motivation","https://www.youtube.com/watch?v=EyTeXcjgR6M","2022-12-26",307897
"The Dark Side of AI: A Warning from Jordan Peterson (scary truth about ChatGPT)","https://www.youtube.com/watch?v=WLehkWESDJ8","2022-12-24",329601
"You Can Have ANYTHING You Want! (but you need to aim for it first) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=WdXxoK9hQik","2022-12-22",14268
"STRIVE TO BECOME THE BEST VERSION OF YOURSELF! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=jvZAqj92fP4","2022-12-19",51204
"Transform Into Your SHADOW SELF! Become Your Dark Side - Jordan Peterson Motivation","https://www.youtube.com/watch?v=rcoJ4uWRRdw","2022-12-17",17723
"STOP PLAYING THE VICTIM! Face Who You REALLY ARE - Jordan Peterson Motivation","https://www.youtube.com/watch?v=N5LyZkCKpyQ","2022-12-15",18204
"STOP ROTTING AWAY IN YOUR ROOM! Take on The Ultimate Adventure - Jordan Peterson Motivation","https://www.youtube.com/watch?v=NZOBhXP-tnc","2022-12-12",26661
"ON THE OTHER SIDE OF SUFFERING IS GREATNESS - Jordan Peterson Motivation","https://www.youtube.com/watch?v=avVutzudVWs","2022-12-08",125075
"THE ONLY WAY TO BECOME BRAVER AND STRONGER - Jordan Peterson Motivation","https://www.youtube.com/watch?v=jPyTC7DahtA","2022-12-05",23380
"The TRUTH About POWERFUL PEOPLE (becoming truly powerful) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=ObE-FH3lJFw","2022-12-03",28437
"CREATE YOUR OWN PATH! Don't Let Your Mind Become A Prison - Jordan Peterson Motivation","https://www.youtube.com/watch?v=YzWulmjsCjI","2022-12-01",20125
"200 MINUTES THAT WILL CHANGE YOUR LIFE FOREVER! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=K7A8JjRBvLA","2022-11-28",455770
"Fight For The Right To Be UNHAPPY In LIFE! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=Q_Q_n4ygadU","2022-11-26",23532
"What REALLY Makes A HERO? (the traits & habits of a TRUE hero) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=kDMdhc6EFPY","2022-11-24",12678
"Becoming 1% Better Everyday Will Make You POWERFUL Beyond Belief - Jordan Peterson Motivation","https://www.youtube.com/watch?v=z_wyScRujuE","2022-11-21",17853
"The SECRET To Getting ANYTHING You Want In LIFE! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=Ra9U6c3zKSg","2022-11-17",107958
"YOU HAVE UNLIMITED POTENTIAL! Don't Waste It - Jordan Peterson Motivation","https://www.youtube.com/watch?v=wH-K5ritSOY","2022-11-14",24305
"The Shocking Reason Why Men Today Are Single (& how to find a partner) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=pjcebLpVvIs","2022-11-12",269028
"GROW UP AND TAKE YOUR PLACE IN THE WORLD! (a message to young men) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=IcUNtyU2QGI","2022-11-10",41708
"DO SOMETHING HARD! Sacrifice Comfort A BETTER FUTURE - Jordan Peterson Motivation","https://www.youtube.com/watch?v=-WC3cV4BRHg","2022-11-07",45555
"Don't Avoid Small Problems In Your Life! Strive To Fix Them DAILY - Jordan Peterson Motivation","https://www.youtube.com/watch?v=jPk54sz4o3k","2022-11-05",10219
"Why Porn & Masturbation RUIN Your FUTURE | Jordan Peterson & Dr. Andrew Huberman","https://www.youtube.com/watch?v=HN20pl587DU","2022-11-03",70232
"This Is The Most POWERFUL Mindset For Success -  Jordan Peterson Motivation","https://www.youtube.com/watch?v=482ZqOLsLwE","2022-10-31",306362
"Challenge Yourself To Become The BEST Man You Know - Jordan Peterson Motivation","https://www.youtube.com/watch?v=4r7moiCux9g","2022-10-27",29530
"Feeling Worthless & Hopeless In LIFE? Do This RIGHT NOW! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=sLzyL5o0s4U","2022-10-24",82158
"For People Feeling Lost and Aimless In LIFE - Jordan Peterson Motivation","https://www.youtube.com/watch?v=8ncWqsQeMSY","2022-10-20",36091
"Become Who You Are AFRAID TO BE! Embrace Your INNER STRENGTH - Jordan Peterson Motivation","https://www.youtube.com/watch?v=k7IXhHR0XNo","2022-10-17",64813
"EMBRACE MASCULINITY! We Need Strong MEN In Our Society - Jordan Peterson Motivation","https://www.youtube.com/watch?v=5E6DC_mhBm0","2022-10-13",58753
"LIVE YOUR LIFE IN THE BEST POSSIBLE WAY! (best way of living life) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=RW5F_oomzC4","2022-10-10",36691
"Start Becoming The Person You've ALWAYS Wanted To Be - Jordan Peterson Motivation","https://www.youtube.com/watch?v=IA6PC6pPGfY","2022-10-06",435933
"You NEED To Be SELFISH! You NEED To Put YOURSELF FIRST - Jordan Peterson Motivation","https://www.youtube.com/watch?v=a6B6d4X2BdY","2022-10-03",247955
"18 Character Traits That Will Make You UNSTOPPABLE! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=Md3ZAakZ5Fk","2022-09-29",120853
"Small Habits That Will Help You Become Mentally Strong - Jordan Peterson Motivation","https://www.youtube.com/watch?v=GGOCU0cDjTk","2022-09-26",189959
"Become The HERO of Your LIFE! Stop Wasting Your Potential - Jordan Peterson Motivation","https://www.youtube.com/watch?v=bvWtWAJJAyI","2022-09-22",56798
"It's Time To Stop Drinking Alcohol! It Makes You Look Like A FOOL - Jordan Peterson Motivation","https://www.youtube.com/watch?v=dD3aJASuq_o","2022-09-19",73386
"You're NOT OKAY The Way You're! You Can Be MUCH BETTER - Jordan Peterson Motivation","https://www.youtube.com/watch?v=uqPfr3zomhs","2022-09-15",153427
"How To Be The Most ADMIRABLE Person In The Room - Jordan Peterson Motivation","https://www.youtube.com/watch?v=6soP_zAaeI4","2022-09-12",107352
"Aim To Become The STRONGEST Person You Can Be - Jordan Peterson Motivation","https://www.youtube.com/watch?v=_FQxCwWU6eo","2022-09-08",78292
"Stop Acting Like A CHILD! There's More To Life Than Being HAPPY - Jordan Peterson Motivation","https://www.youtube.com/watch?v=YgBpyi-ORmc","2022-09-05",93903
"The Path To Becoming A POWERFUL Person Is Thru Suffering - Jordan Peterson Motivation","https://www.youtube.com/watch?v=zL4GUh6cHeE","2022-09-01",35937
"BECOME STRONG, POWERFUL & INDEPENDENT! Stop Apologizing For Being A MAN - Jordan Peterson","https://www.youtube.com/watch?v=SeXYmfaBxPo","2022-08-29",45836
"How POWERFUL Can You Become? (try this for 30 days) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=6FuPch2XDmM","2022-08-25",128021
"5 Simple Steps To Design The LIFE You Want! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=PPkajk5frz4","2022-08-22",43535
"This Is Why You're Not Happy & Miserable - Jordan Peterson Motivation","https://www.youtube.com/watch?v=c4W-lS3Dbr8","2022-08-18",56671
"3 HOURS THAT WILL FIX YOUR CHARACTER & SOUL - Jordan Peterson Motivation","https://www.youtube.com/watch?v=hDMdScXsRNg","2022-08-15",1973555
"3 Things That Will TRANSFORM Your LIFE Immediately - Jordan Peterson Motivation","https://www.youtube.com/watch?v=qF6EbBJQH2c","2022-08-11",125282
"The One Thing You Need To Achieve ANYTHING You Want - Jordan Peterson Motivation","https://www.youtube.com/watch?v=nCyk2yx4y0E","2022-08-08",58476
"Stop Destroying Yourself! Stop Ruining Your Own LIFE! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=9yRmdEPTVv8","2022-08-04",45214
"HOW TO OVERCOME LAZINESS AND PROCRASTINATION - Jordan Peterson Motivation","https://www.youtube.com/watch?v=_WXg4tOMbYs","2022-08-01",364637
"Stop Being Weak & Naive! Don't Let People Abuse You - Jordan Peterson Motivation","https://www.youtube.com/watch?v=_sQiEid0y0M","2022-07-28",139159
"How To Become ANTIFRAGILE And Face ANYTHING In LIFE - Jordan Peterson Motivation","https://www.youtube.com/watch?v=0s1SmjDk4Mw","2022-07-25",75298
"The Best Advice For People Feeling LOST In LIFE - Jordan Peterson Motivation","https://www.youtube.com/watch?v=Vdy-AZHaZYg","2022-07-21",57245
"how to become a superhuman (the idea of the ubermensch) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=Tz6xtHACh_w","2022-07-18",90658
"How To Rewire Your Brain To Become HYPER PRODUCTIVE - Jordan Peterson Motivation","https://www.youtube.com/watch?v=zOYl1xNDg4w","2022-07-14",298593
"Don't Let Fear of Suffering Limit Your Possibilities! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=1D6d-asEqJE","2022-07-11",44004
"Turn Into The Most POWERFUL Version of Yourself - Jordan Peterson Motivation","https://www.youtube.com/watch?v=781yo-vV7UE","2022-07-07",96193
"Don't Betray Your FUTURE SELF! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=l061OjS-oDU","2022-07-04",85053
"What Being An ALPHA MALE REALLY Means - Jordan Peterson Motivation","https://www.youtube.com/watch?v=U38vcn1F_VE","2022-06-30",413791
"It's Time To Become A STRONG Person! Stop Holding Yourself Back - Jordan Peterson Motivation","https://www.youtube.com/watch?v=5h8qbYXwSc0","2022-06-27",71838
"The 8 Things You Need To Become Your Best Self - Jordan Peterson Motivation","https://www.youtube.com/watch?v=d8_6ANCGr_E","2022-06-23",118979
"How To Become Tougher And Stronger Than Most People - Jordan Peterson Motivation","https://www.youtube.com/watch?v=HyxRyWLvy8A","2022-06-20",771602
"Use Your Time Wisely! Life Is Too Short - Jordan Peterson Motivation","https://www.youtube.com/watch?v=F38l96sJAFs","2022-06-16",49971
"Stop Being An Obedient COWARD! Weak People Can't Be Virtuous - Jordan Peterson Motivation","https://www.youtube.com/watch?v=cX8adll2IZY","2022-06-13",60025
"It's Time To Figure Out What You REALLY WANT - Jordan Peterson Motivation","https://www.youtube.com/watch?v=oxEerCJxaDo","2022-06-09",52085
"IF YOU FEEL LAZY AND UNMOTIVATED, WATCH THIS NOW! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=0X9-M5TIBz0","2022-06-06",94466
"Why The Top 1% Are Getting Richer Than EVER (the 80/20 principle) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=7bae57iZtD4","2022-06-04",13399
"The 5 MOST IMPORTANT Things You Need In LIFE! - Jordan Peterson Motivation","https://www.youtube.com/watch?v=BwiPv_pSu0M","2022-06-02",49205
"This Is Why You're NOT HAPPY - Jordan Peterson Motivation","https://www.youtube.com/watch?v=L9aRUMUQx7o","2022-05-30",68409
"How To Choose A LIFE PARTNER Wisely - Jordan Peterson Motivation","https://www.youtube.com/watch?v=Md8LuUeBsdk","2022-05-28",26078
"Integrate The Monster Within You! It Will Make You A POWERFUL Person - Jordan Peterson Motivation","https://www.youtube.com/watch?v=MVLZ4wBNewI","2022-05-26",40404
"Don't Fall Prey To Negativity And Nihilism! (you will pay for it) - Jordan Peterson Motivation","https://www.youtube.com/watch?v=_VCcPMajv4Q","2022-05-23",32077
